iter	Passed	Remaining
0	38	15259
1	77	15420
2	112	14831
3	152	15070
4	171	13572
5	208	13711
6	244	13717
7	280	13757
8	325	14153
9	378	14767
10	427	15132
11	473	15320
12	509	15167
13	551	15205
14	598	15356
15	636	15268
16	681	15356
17	729	15485
18	776	15564
19	818	15556
20	859	15509
21	900	15467
22	939	15401
23	985	15439
24	1034	15516
25	1082	15575
26	1126	15559
27	1175	15621
28	1213	15520
29	1251	15430
30	1295	15425
31	1338	15389
32	1375	15292
33	1412	15202
34	1467	15302
35	1510	15276
36	1564	15351
37	1614	15379
38	1656	15337
39	1697	15274
40	1749	15319
41	1803	15375
42	1853	15389
43	1904	15406
44	1949	15379
45	2001	15406
46	2048	15384
47	2097	15383
48	2155	15443
49	2202	15419
50	2247	15381
51	2294	15357
52	2343	15340
53	2384	15281
54	2443	15325
55	2488	15285
56	2537	15266
57	2592	15284
58	2645	15289
59	2695	15276
60	2748	15275
61	2782	15170
62	2828	15128
63	2869	15064
64	2912	15012
65	2953	14945
66	2992	14875
67	3031	14800
68	3066	14708
69	3103	14628
70	3136	14533
71	3186	14518
72	3231	14473
73	3280	14449
74	3319	14383
75	3357	14311
76	3394	14237
77	3427	14149
78	3466	14086
79	3505	14021
80	3539	13939
81	3580	13887
82	3621	13833
83	3669	13803
84	3711	13755
85	3748	13684
86	3792	13646
87	3826	13565
88	3859	13487
89	3898	13428
90	3936	13366
91	3978	13320
92	4017	13261
93	4052	13191
94	4090	13133
95	4133	13090
96	4179	13054
97	4224	13017
98	4265	12969
99	4313	12941
100	4351	12881
101	4383	12806
102	4420	12745
103	4455	12682
104	4491	12618
105	4529	12563
106	4563	12497
107	4594	12423
108	4637	12379
109	4677	12332
110	4722	12295
111	4767	12258
112	4802	12198
113	4840	12143
114	4876	12085
115	4915	12034
116	4955	11986
117	4992	11931
118	5027	11870
119	5062	11813
120	5093	11745
121	5132	11695
122	5165	11633
123	5198	11571
124	5234	11515
125	5275	11471
126	5318	11432
127	5361	11392
128	5401	11346
129	5443	11305
130	5552	11402
131	5635	11442
132	5749	11541
133	5818	11551
134	5886	11554
135	5942	11535
136	5988	11495
137	6041	11470
138	6087	11430
139	6142	11407
140	6184	11361
141	6233	11325
142	6270	11270
143	6308	11215
144	6345	11159
145	6379	11099
146	6418	11047
147	6459	10998
148	6496	10943
149	6537	10896
150	6571	10836
151	6612	10789
152	6652	10740
153	6687	10682
154	6739	10653
155	6788	10618
156	6839	10586
157	6898	10565
158	6943	10525
159	6983	10475
160	7033	10440
161	7072	10390
162	7118	10349
163	7154	10295
164	7197	10250
165	7236	10201
166	7275	10151
167	7321	10111
168	7355	10054
169	7409	10024
170	7461	9992
171	7522	9971
172	7577	9942
173	7640	9924
174	7691	9889
175	7737	9847
176	7775	9796
177	7829	9765
178	7881	9731
179	7940	9705
180	7983	9659
181	8030	9619
182	8074	9575
183	8123	9536
184	8171	9496
185	8222	9460
186	8281	9432
187	8376	9445
188	8433	9414
189	8480	9373
190	8520	9323
191	8565	9279
192	8621	9246
193	8682	9219
194	8735	9183
195	8775	9133
196	8815	9083
197	8856	9035
198	8906	8995
199	8948	8948
200	8993	8903
201	9035	8856
202	9078	8810
203	9138	8780
204	9188	8740
205	9234	8696
206	9271	8644
207	9319	8602
208	9349	8544
209	9388	8494
210	9429	8446
211	9464	8392
212	9513	8352
213	9551	8301
214	9596	8257
215	9635	8208
216	9682	8165
217	9730	8124
218	9774	8078
219	9816	8031
220	9857	7984
221	9901	7938
222	9943	7892
223	9992	7851
224	10027	7798
225	10064	7748
226	10110	7705
227	10146	7654
228	10183	7604
229	10224	7557
230	10262	7507
231	10309	7465
232	10354	7421
233	10395	7374
234	10442	7331
235	10483	7284
236	10514	7231
237	10557	7185
238	10596	7137
239	10632	7088
240	10669	7039
241	10712	6994
242	10752	6947
243	10788	6897
244	10823	6847
245	10861	6799
246	10901	6752
247	10938	6704
